gene_ID,Log2FC,padj
FAM163A,2.802727052,0.003626637
LCP2,2.802111223,4.99E-13
ABLIM2,2.797884156,3.67E-18
NR2F1,2.793945707,4.19E-10
BLK,2.792283531,3.72E-12
LOC107053541,2.789810287,0.00010328
RAMP1,2.78518609,2.66E-15
POU3F4,2.781918619,7.79E-07
BHLHE22,2.781440389,0.005318853
PGR,2.781327983,2.33E-08
LOC422926,2.778505498,0.000249533
PTPRT,2.77559714,3.15E-05
BASP1,2.774287903,2.67E-16
SYNPO2,2.774111018,4.69E-11
LOC112532475,2.771921746,2.96E-07
RLN3,2.770680951,0.00410073
CCR2,2.768202284,1.40E-12
PLA2R1,2.767195251,1.43E-29
DCLK3,2.765880793,3.58E-06
CXCL12,2.764213923,1.36E-08
IL2RG,2.764118125,2.11E-13
PAQR9,2.763696437,1.36E-15
LOC107053659,2.763603484,0.010538564
LHX6,2.760938249,2.91E-05
CHIR2D-956,2.760388586,0.012572508
CCL5,2.759659179,0.000739474
LOC112532341,2.758472715,4.04E-05
ACSL5,2.757496689,2.98E-10
KCNT2,2.751746926,7.54E-07
LOC107052639,2.749768994,0.001050313
SH2D1B,2.747864028,7.87E-09
SLC11A1,2.746860504,9.40E-15
CD1B,2.737764856,2.20E-11
LOC101749148,2.737314216,0.001342337
FABP4,2.735089334,1.79E-09
PINLYP,2.733437493,8.00E-11
DUSP4,2.732587287,1.28E-12
LOC101750112,2.729833415,8.95E-05
ABCC3,2.729271745,2.95E-28
LOC426820,2.72895366,5.36E-12
SELENOU,2.724682996,4.11E-15
BLB1,2.722157599,3.75E-19
DNMT3B,2.716685553,5.64E-06
FAM65B,2.71377571,1.52E-15
FLT3,2.713489431,1.54E-05
FNDC5,2.711388172,7.94E-09
DNASE2B,2.71014858,1.74E-17
DNASE1L3,2.703844131,1.21E-07
DOK2,2.701501363,3.50E-10
PLEK,2.701250993,4.22E-14
EOMES,2.700065408,1.40E-10
DMB2,2.696708282,2.60E-17
PTAFR,2.696182299,5.17E-09
LIMD2,2.695815021,1.27E-24
LOC112531107,2.695631903,2.51E-05
LOC100857191,2.694961112,0.000451912
RHOBTB1,2.694268272,3.57E-05
BTK,2.693731698,2.52E-08
BANK1,2.693042662,8.94E-09
SIRPA,2.693004177,4.44E-07
SORBS2,2.691741393,4.32E-08
TCP11,2.688632111,0.016194193
LOC100857375,2.687991638,0.037296664
ASXL3,2.679113991,2.72E-11
STK31,2.678875064,0.002571345
LOC112532910,2.676872133,0.013247576
CACNA1B,2.675395262,0.001830561
SLC18A2,2.672650809,6.86E-05
LOC107054149,2.669041725,0.000215669
LOC112531133,2.668696794,0.000360747
LOC107054453,2.668235914,7.89E-06
DDC,2.668122151,2.59E-05
TEC,2.666772522,1.41E-14
CYGB,2.666598733,2.37E-09
ALDH1A1,2.666486121,0.010737049
