,baseMean,log2FC,log2FC_shrunken,lfcSE_shrunken,stat,pvalue,padj
CREBL2,297.4830087,-0.215515027,-3.97E-06,0.001442671,-0.909837289,0.362908326,0.999928958
CREBRF,243.1235025,0.21280201,3.34E-06,0.001442674,0.825105384,0.409311763,0.999928958
CREBZF,393.3695843,-0.041728001,-1.12E-06,0.001442656,-0.213072311,0.831270561,0.999928958
CREG1,555.8504837,-0.367766564,-6.02E-06,0.001442678,-1.463476075,0.143337155,0.999928958
CREG2,297.0503836,0.095397865,1.60E-06,0.001442671,0.382184505,0.702324514,0.999928958
CRELD1,658.9748057,-0.121158323,-2.49E-06,0.001442666,-0.53955383,0.589504764,0.999928958
CRELD2,1381.635187,-0.126417219,-3.30E-06,0.001442659,-0.634712072,0.525616219,0.999928958
CREM,133.0716626,-0.030247791,-3.55E-07,0.001442678,-0.102627345,0.918258739,0.999928958
CRHR2,169.1765609,-0.817841998,-7.30E-06,0.001442692,-2.420781383,0.015487188,0.678527063
CRIM1,777.9902146,0.335572542,1.24E-05,0.001442657,2.201103928,0.027728667,0.865841892
CRIP1,784.2312648,-0.622763793,-6.60E-06,0.001442688,-2.003763005,0.045095454,0.999920409
CRIP2,338.710867,0.166530837,4.98E-06,0.001442656,0.89201096,0.372387058,0.999928958
CRIPT,1004.496233,-0.225911099,-9.06E-06,0.001442652,-1.404408316,0.160197296,0.999928958
CRISPLD1,798.0062971,-0.591022587,-1.14E-05,0.00144269,-2.558974124,0.010498156,0.59047318
CRISPLD2,667.3467423,0.651147892,1.09E-05,0.001442692,2.632011714,0.008488094,0.550543346
CRK,2189.640932,-0.07696108,-4.00E-06,0.001442623,-0.544868469,0.585843984,0.999928958
CRKL,1041.518625,-0.01079073,-2.37E-07,0.001442662,-0.05092288,0.959386973,0.999928958
CRLF1,46.73509036,-0.225381113,-7.65E-07,0.00144269,-0.409285032,0.682330498,0.999928958
CRLF3,1996.444254,-0.059013496,-3.24E-06,0.001442617,-0.429534579,0.667534235,0.999928958
CRLS1,971.3901488,-0.177858052,-6.89E-06,0.001442647,-1.087167289,0.276962884,0.999928958
CRMP1,4010.440164,-0.194572529,-1.78E-05,0.001442618,-1.824376845,0.06809512,0.999928958
CRNKL1,2013.625024,-0.067249094,-3.65E-06,0.001442619,-0.48642528,0.62666567,0.999928958
CROCC,361.6883169,0.289987745,3.26E-06,0.001442681,0.952272417,0.340958843,0.999928958
CROT,2880.680858,-0.047327972,-2.02E-06,0.001442634,-0.303955483,0.761161807,0.999928958
CRTAC1,409.3224968,-0.44343751,-4.93E-06,0.001442683,-1.456415321,0.145277843,0.999928958
CRTAP,858.0949806,-0.27641024,-9.41E-06,0.001442661,-1.584324832,0.113119818,0.999928958
CRTC1,1063.106911,0.108949315,1.55E-06,0.001442675,0.401044108,0.68838765,0.999928958
CRY1,1822.25548,-0.222726326,-1.57E-05,0.001442636,-1.836400302,0.066298475,0.999928958
CRY2,448.0081112,0.119190894,3.24E-06,0.001442658,0.60841044,0.542915289,0.999928958
CRYAB,85.63970967,0.254108958,1.08E-06,0.001442689,0.513692618,0.607466914,0.999928958
CRYBA1,15.84439962,-1.033233626,-1.97E-06,0.001442693,-1.416616318,0.156595135,0.999928958
CRYBB1,198.7717997,0.564852029,8.65E-06,0.001442686,2.174080139,0.029699117,0.868628467
CRYBG3,654.2690801,-0.363303484,-3.00E-06,0.001442685,-1.027198396,0.304327053,0.999928958
CRYGN,39.18069447,0.488852535,2.55E-06,0.001442689,1.093219378,0.274297491,0.999928958
CRYL1,315.9507723,0.015415773,2.26E-07,0.001442675,0.056683153,0.954797594,0.999928958
CRYM,598.4853518,-0.167751781,-5.44E-06,0.001442653,-0.937774387,0.348360366,0.999928958
CRYZ,655.6788816,-0.241073037,-3.53E-06,0.001442676,-0.907290718,0.364253081,0.999928958
CRYZL1,795.5843334,-0.014224759,-2.02E-07,0.001442673,-0.053909895,0.957006953,0.999928958
CS,5068.941721,-0.149535815,-6.25E-06,0.001442641,-0.949348347,0.342443472,0.999928958
CSAD,291.4001506,-0.256715769,-5.07E-06,0.001442671,-1.121287959,0.262165309,0.999928958
CSDC2,94.55166674,-0.424384582,-3.35E-06,0.001442683,-1.30282244,0.192635388,0.999928958
CSDE1,25727.83824,0.00048947,5.45E-08,0.00144259,0.004090641,0.99673615,0.999928958
CSE1L,8354.632676,-0.062103191,-4.82E-06,0.001442587,-0.537255059,0.591091444,0.999928958
