gene,Exp_1,Free_1,Free_2,Exp_2,Pygo_1,Exp_3,Exp_4,Free_3,Pygo_2,Free_4,Pygo_3,Pygo_4
DDRGK1,1374,980,1018,1356,555,1021,1015,808,878,1379,1424,1186
DDTL,1588,1951,2476,1948,1756,1254,992,2320,2946,1628,1714,1178
DDX1,2500,2339,2682,3160,1630,2091,1861,1712,2157,2054,2443,2101
DDX10,729,626,694,924,454,719,625,526,538,826,795,650
DDX11,375,268,460,715,439,420,446,399,782,411,704,402
DDX17,14768,11252,16353,22071,14117,15121,14593,14339,25399,14560,23660,18638
DDX18,726,620,645,934,608,685,557,435,742,613,794,598
DDX19,2402,1639,2430,3972,2217,2638,2540,2042,3768,2873,3724,3130
DDX20,530,432,422,775,467,517,404,387,718,310,443,310
DDX21,1156,995,1268,1852,1191,1096,999,976,1643,1303,1686,1780
DDX23,27,24,44,17,19,3,23,30,70,58,27,51
DDX24,709,409,386,781,484,637,515,373,688,521,597,466
DDX25,213,69,108,88,78,63,39,40,114,36,109,50
DDX27,1275,1046,1380,1611,1280,1031,1104,1247,1722,1512,2073,1778
DDX28,229,168,292,276,200,186,172,200,252,220,310,194
DDX31,1076,634,927,1562,761,969,678,702,1188,525,963,696
DDX3X,14358,12740,14339,17821,11102,9485,8717,14268,14627,14225,17206,16004
DDX4,0,6,2,8,4,4,4,15,22,2,8,9
DDX41,831,621,904,930,1129,640,582,865,1617,745,1437,957
DDX42,2461,1794,2401,3331,1952,2043,1983,1983,3034,2557,3148,2790
DDX46,2514,2199,2953,3291,1562,2201,2059,1944,2390,2225,2787,2271
DDX47,675,708,890,1057,769,598,548,792,946,1140,856,643
DDX49,691,464,616,897,507,471,412,516,657,566,673,527
DDX5,11827,12734,15233,15997,10137,10044,7988,12236,14856,11885,15754,12958
DDX51,503,422,575,707,536,395,393,470,864,566,753,637
DDX52,374,427,551,579,376,433,342,395,388,496,587,446
DDX54,843,537,582,939,877,570,618,769,1465,701,1329,798
DDX55,560,353,544,673,285,515,421,549,487,502,672,497
DDX59,877,619,950,944,420,681,619,614,719,696,842,622
DDX6,9215,5970,8676,12703,6947,8495,8122,6456,10589,8295,10691,9087
DDX60,174,216,167,571,38,364,310,124,203,161,152,189
