ENTREZ_ID,GENE_SYM
101750213,Atoh1
101750235,NXPH2
101750245,IFNKL1
101750251,NA
101750255,SPTBN2
101750273,NA
101750288,C9ORF152
101750305,DDIAS
101750306,PRMT5
101750333,GCAT
101750338,MFHAS1
101750363,PRF1
101750365,LYRM9
101750367,NA
101750371,NA
101750374,EIF3K
101750376,NA
101750381,KIAA0408
101750389,NA
101750392,SRPRB
101750393,TAF1C
101750396,IL18RAP
101750407,PLEKHS1
101750419,NMS
101750427,CCDC71L
101750428,CCDC189
101750437,LRFN1
101750445,NA
101750451,NA
101750509,NA
101750513,MAP3K12
101750514,NA
101750517,NA
101750527,ADGRF5
101750534,PRR15
101750540,NA
101750550,NA
101750559,DLEU7
101750560,AKT2
101750576,GSC2
101750583,NA
101750586,IL17RC
101750594,MSMB
101750600,SMG6
101750621,NA
101750640,NA
101750641,FANCF
101750657,SMTNL1
101750666,KIAA1755
101750668,NA
101750689,BHLHE41
101750690,WARS2
101750705,ADRB1
101750708,C6orf132
101750712,ZNF750
101750732,GIN1
101750739,NECTIN4
101750757,NA
101750767,SCG2
101750770,NA
101750777,RASSF1
101750778,CCDC36
101750781,SSH1
101750783,NA
101750812,CSF2RB
101750836,NA
101750861,CCDC110
101750875,INTS5
101750889,NA
101750908,NA
101750922,SETD6
101750925,NA
101750948,NA
101750972,NA
101750973,NA
101750975,NA
101750979,TMPPE
101750984,PLEKHG3
101750986,IER5
101750992,KLHL33
101750998,NA
101751011,OMG
101751014,MLXIPL
101751037,TNFRSF4
101751055,DAO
101751070,GKN1
101751077,TBL2
101751119,RGS22
101751124,STK39
101751145,FAM212A
101751148,USP43
101751153,NA
101751162,EDQCM
101751171,CUPIN1A
101751184,CCDC27
101751186,NA
101751192,TIMELESS
101751202,NICN1
101751203,MMP11
101751218,MXD3
101751235,RAB41
101751236,RTP2
101751260,SCEL
101751271,NA
101751273,FAM219B
101751277,CENPX
101751279,NA
101751309,ERLEC1
101751326,TMIGD1
101751348,NA
101751363,SEC14L3
101751367,RNF222
101751372,TUSC1
101751376,FAM181B
101751416,NA
101751434,NA
101751513,ADRA2B
101751545,NA
101751551,FAM83G
101751554,NA
